    Step 	 <(r-r')^2> 	 <(v-v')^2> 
409	7.19896e-08	5.88975e-06
410	7.32934e-08	6.06538e-06
411	7.47335e-08	6.19559e-06
412	7.60799e-08	6.30286e-06
413	7.74456e-08	6.39839e-06
414	7.8831e-08	6.33469e-06
415	8.02375e-08	6.23448e-06
416	8.16667e-08	6.25251e-06
417	0.0259457	6.44909e-06
418	8.529e-08	6.63068e-06
419	8.68084e-08	6.7674e-06
420	0.0379608	6.84165e-06
421	8.99914e-08	6.86293e-06
422	9.16076e-08	6.84656e-06
423	9.3257e-08	6.80741e-06
424	9.49394e-08	6.76191e-06
425	9.66548e-08	6.73305e-06
426	9.85912e-08	6.7449e-06
427	1.00381e-07	6.7895e-06
428	1.02443e-07	6.82381e-06
429	0.100998	6.83566e-06
430	1.06157e-07	6.86852e-06
431	1.07991e-07	6.96679e-06
432	1.0995e-07	7.11548e-06
433	1.11964e-07	7.27167e-06
434	1.13624e-07	7.41352e-06
435	1.15662e-07	7.53922e-06
436	1.17724e-07	7.65421e-06
437	1.19826e-07	7.76395e-06
438	1.21962e-07	7.84372e-06
439	1.24053e-07	7.8879e-06
440	1.2626e-07	7.93296e-06
441	0.0815093	7.99155e-06
442	1.29697e-07	8.08376e-06
443	1.31996e-07	8.22925e-06
444	1.3435e-07	8.42631e-06
445	1.36743e-07	8.62859e-06
446	1.39918e-07	8.85825e-06
447	1.42435e-07	9.09425e-06
448	1.45003e-07	9.31782e-06
449	1.47643e-07	9.51754e-06
450	1.50399e-07	9.68151e-06
451	1.53113e-07	9.80873e-06
452	1.55639e-07	9.91618e-06
453	1.58453e-07	1.00283e-05
454	1.61316e-07	1.01825e-05
455	1.64256e-07	1.0423e-05
456	1.67217e-07	1.07401e-05
457	1.69762e-07	1.1072e-05
458	1.72725e-07	1.1363e-05
459	1.75839e-07	1.16669e-05
460	1.78973e-07	1.19084e-05
461	1.8393e-07	1.20842e-05
462	1.87178e-07	1.22762e-05
463	0.0776368	1.25073e-05
464	1.93992e-07	1.27376e-05
465	0.0339285	1.29917e-05
466	2.00763e-07	1.32909e-05
467	2.04259e-07	1.36579e-05
468	2.07807e-07	1.4114e-05
469	2.11408e-07	1.4646e-05
470	0.0280979	1.52043e-05
471	2.19613e-07	1.57353e-05
472	2.23391e-07	1.61942e-05
473	2.27174e-07	1.65472e-05
474	2.31077e-07	1.67769e-05
475	2.34961e-07	1.68848e-05
476	2.38949e-07	1.68921e-05
477	2.43054e-07	1.67786e-05
478	2.47233e-07	1.64584e-05
479	2.51659e-07	1.66662e-05
480	2.55996e-07	1.74475e-05
481	2.60411e-07	1.82463e-05
482	2.64904e-07	1.89549e-05
483	2.69475e-07	1.95433e-05
484	2.74121e-07	2.00267e-05
485	2.7884e-07	2.0426e-05
486	2.8363e-07	2.07405e-05
487	2.88486e-07	2.10823e-05
488	2.93404e-07	2.15029e-05
489	2.98381e-07	2.18905e-05
490	3.03413e-07	2.22734e-05
491	3.08499e-07	2.26552e-05
492	3.13628e-07	2.30101e-05
493	3.18835e-07	2.32708e-05
494	3.24116e-07	2.32739e-05
495	3.29487e-07	2.33241e-05
496	3.34965e-07	2.34736e-05
497	3.4073e-07	2.36429e-05
498	3.46467e-07	2.39571e-05
499	3.5255e-07	2.44576e-05
500	3.58626e-07	2.51173e-05
501	3.64869e-07	2.5868e-05
502	3.72111e-07	2.66098e-05
503	3.79392e-07	2.72479e-05
504	3.86129e-07	2.77558e-05
505	3.93052e-07	2.8186e-05
506	3.99818e-07	2.86742e-05
507	4.07805e-07	2.93067e-05
508	4.15628e-07	3.00826e-05
509	4.23141e-07	3.10386e-05
510	4.30801e-07	3.21968e-05
511	0.0311091	3.35109e-05
512	4.48748e-07	3.49109e-05
513	4.56892e-07	3.63232e-05
514	4.6519e-07	3.75653e-05
515	4.73641e-07	3.84909e-05
516	4.8213e-07	3.91251e-05
517	4.90907e-07	3.98306e-05
518	4.99916e-07	4.08487e-05
519	5.08977e-07	4.21367e-05
520	5.1818e-07	4.3797e-05
521	5.27611e-07	4.54612e-05
522	5.37176e-07	4.68798e-05
523	5.46994e-07	4.81508e-05
524	5.5703e-07	4.92111e-05
525	5.67348e-07	5.01081e-05
526	5.77932e-07	5.08099e-05
527	5.88821e-07	5.13095e-05
528	5.97366e-07	5.19318e-05
529	6.08695e-07	5.33038e-05
530	6.20325e-07	5.51639e-05
531	0.0405311	5.69081e-05
532	6.45293e-07	5.83907e-05
533	6.57888e-07	5.95452e-05
534	6.70807e-07	6.01921e-05
535	6.84055e-07	6.00912e-05
536	6.97634e-07	5.91766e-05
537	7.11549e-07	5.86387e-05
538	0.0578708	6.10266e-05
539	0.0746584	6.36273e-05
540	0.0379713	6.50075e-05
541	0.0379667	6.59854e-05
542	7.89344e-07	6.70732e-05
543	8.05301e-07	6.82735e-05
544	8.21606e-07	6.92302e-05
545	8.3826e-07	6.97309e-05
546	8.5526e-07	6.98444e-05
547	0.0250747	6.96415e-05
548	8.91957e-07	6.91817e-05
549	9.08036e-07	6.86667e-05
550	9.26409e-07	6.82165e-05
551	0.0195288	6.77797e-05
552	0.116594	6.73477e-05
553	9.77059e-07	6.71182e-05
554	9.96632e-07	6.71972e-05
555	1.01643e-06	6.75227e-05
556	1.03665e-06	6.80298e-05
557	1.05721e-06	6.86562e-05
558	1.07814e-06	6.94567e-05
559	1.09945e-06	7.0529e-05
560	1.12118e-06	7.19478e-05
561	0.026808	7.38669e-05
562	1.1658e-06	7.64213e-05
563	1.18883e-06	7.94448e-05
564	1.21244e-06	8.21909e-05
565	1.23656e-06	8.36316e-05
566	0.0251366	8.4239e-05
567	0.0251531	8.74246e-05
568	1.3071e-06	9.14378e-05
569	1.32896e-06	9.61918e-05
570	1.35541e-06	0.000100932
571	1.38238e-06	0.000105316
572	1.40949e-06	0.000109105
573	1.43758e-06	0.000112061
574	1.46619e-06	0.000114877
575	1.49548e-06	0.00011792
576	0.0559208	0.000121132
577	0.0249589	0.000124533
578	1.58773e-06	0.000127929
579	0.0251415	0.000131285
580	0.0253124	0.000134862
581	0.110064	0.000138801
582	1.71537e-06	0.000143361
583	1.75088e-06	0.000148187
584	1.78725e-06	0.000152396
585	1.82451e-06	0.00015525
586	1.86264e-06	0.000156443
587	1.89671e-06	0.000156098
588	0.0678358	0.000154563
589	1.97719e-06	0.000152592
590	2.01862e-06	0.000151882
591	0.0221602	0.000154041
592	2.10155e-06	0.000158033
593	2.14519e-06	0.000161774
594	2.18955e-06	0.000164513
595	2.23459e-06	0.000166406
596	0.018778	0.000167883
597	0.0312664	0.000169373
598	2.37389e-06	0.000171188
599	2.42131e-06	0.000173493
600	2.46894e-06	0.000176276
601	2.51681e-06	0.000179248
602	0.0614376	0.000182508
603	0.0805188	0.000185854
604	0.0214875	0.000189208
605	0.0214825	0.000192707
606	0.0214773	0.000196934
607	0.0214719	0.000202359
608	0.0214663	0.000208548
609	0.0214605	0.000214784
610	0.0251955	0.000220308
611	3.03497e-06	0.000224378
612	0.0291977	0.000226935
613	3.14157e-06	0.000229077
614	3.19765e-06	0.000231447
615	3.25472e-06	0.000234571
616	3.30763e-06	0.000239172
617	3.36599e-06	0.000244923
618	3.42563e-06	0.000251472
619	3.48635e-06	0.000258231
620	0.0213872	0.000264905
621	0.0475633	0.000271659
622	0.0475738	0.000278977
623	0.047584	0.000286993
624	0.047594	0.000295317
625	0.0476037	0.000303444
626	0.0476132	0.000311896
627	0.0476226	0.000322799
628	0.0476317	0.000335661
629	0.0476406	0.000348936
630	0.0476493	0.000362533
631	0.0758531	0.000377149
632	0.127756	0.000392148
633	0.0758872	0.000406679
634	0.0476823	0.000420172
635	0.0692612	0.000431905
636	0.0264425	0.000440449
637	0.0264585	0.000443332
638	0.0264744	0.000437908
639	4.9365e-06	0.000425514
640	5.02671e-06	0.000414208
641	5.11919e-06	0.0004119
642	5.21398e-06	0.000420644
643	5.31317e-06	0.000437898
644	5.41242e-06	0.000456415
645	5.51372e-06	0.000469202
646	5.61697e-06	0.000475188
647	5.72209e-06	0.000477479
648	5.8291e-06	0.000479841
649	0.108848	0.000484749
650	0.209529	0.000493304
651	0.0266694	0.000505758
652	0.0266834	0.000521212
653	0.0266973	0.000536475
654	0.026711	0.000550565
655	0.0267246	0.000566239
656	0.0267379	0.000583806
657	0.108908	0.000602404
658	0.10893	0.000621402
659	0.108953	0.000640344
660	0.0267895	0.000657675
661	0.0566711	0.000671424
662	0.0850609	0.000681919
663	0.085085	0.000689777
664	0.0268375	0.000695946
665	0.0661552	0.000701165
666	0.0478642	0.00070553
667	0.0686393	0.000708928
668	0.0478703	0.000711525
669	0.0478731	0.000713844
670	0.0269013	0.000716592
671	0.0269108	0.000720708
672	0.0269199	0.000727812
673	0.146745	0.000740075
674	0.026937	0.000758465
675	1.01171e-05	0.000781043
676	0.109024	0.000803614
677	0.0671006	0.000821988
678	0.0257686	0.000833379
679	1.1005e-05	0.000837149
680	1.12337e-05	0.000835856
681	1.14668e-05	0.000835259
682	0.0198883	0.000842509
683	1.19465e-05	0.000864467
684	0.0648221	0.000904662
685	0.0647776	0.000955628
686	0.0647322	0.00100075
687	1.30441e-05	0.00102859
688	1.33212e-05	0.00103841
689	1.36051e-05	0.00103532
690	0.0505241	0.00102848
691	1.40411e-05	0.00102237
692	0.027962	0.00101831
693	0.07212	0.00101719
694	0.180238	0.0010186
695	0.136062	0.00102422
696	0.195202	0.00103671
697	0.169414	0.00105336
698	0.135976	0.0010708
699	1.67091e-05	0.00108708
700	1.706e-05	0.00110433
701	1.74169e-05	0.00112816
702	1.77813e-05	0.00115926
703	0.0485229	0.00119606
704	1.85205e-05	0.00124017
705	1.8896e-05	0.00129253
706	0.0269244	0.00135006
707	0.0354044	0.00140606
708	0.198946	0.00145153
709	0.0436581	0.00148468
710	0.078772	0.00150843
711	0.0674659	0.00152797
712	0.0436558	0.00154994
713	0.043658	0.00157804
714	0.0626523	0.00161136
715	0.0436664	0.00165252
716	0.0436724	0.00170741
717	0.0699276	0.00177075
718	0.06993	0.0018349
719	0.0699339	0.00189278
720	0.111849	0.0019346
721	0.0807312	0.00195159
722	0.107678	0.00194061
723	0.0706264	0.00193918
724	0.11924	0.00194697
725	0.0909564	0.00195438
726	0.0909192	0.00196854
727	0.0908824	0.00199183
728	0.0281856	0.00202453
729	0.0646936	0.00206419
730	0.0281717	0.00210664
731	0.0281649	0.00214701
732	0.0281582	0.0021819
733	3.30922e-05	0.00220791
734	3.37626e-05	0.00222132
735	3.44476e-05	0.00223678
736	3.51468e-05	0.00225968
737	3.58601e-05	0.00226873
738	3.65874e-05	0.00226423
739	3.73285e-05	0.00225269
740	3.80834e-05	0.0022667
741	3.88518e-05	0.00230528
742	3.96336e-05	0.00235339
743	4.04285e-05	0.00240877
744	0.0469264	0.00248012
745	0.0706098	0.00258056
746	0.0500609	0.00272312
747	0.0500598	0.00291852
748	4.46623e-05	0.00316942
749	0.0414445	0.00345494
750	0.0414791	0.00369678
751	4.73438e-05	0.00364045
752	0.0752866	0.0033596
753	0.0444635	0.0038944
754	0.0961394	0.00408432
755	0.0444656	0.00412361
756	0.068984	0.00405117
757	0.220878	0.00395102
758	0.151876	0.00388192
759	0.0607834	0.00386582
760	0.0607855	0.00389926
761	0.104168	0.00396618
762	0.0607844	0.00403974
763	0.108132	0.00411875
764	0.060777	0.0041988
765	0.060771	0.00427364
766	0.0607637	0.00434939
767	0.0607551	0.00443064
768	0.106342	0.00451298
769	0.106301	0.00459516
770	0.106258	0.00473422
771	0.15264	0.0049435
772	0.152628	0.00512862
773	0.178497	0.00525253
774	0.178454	0.00525359
775	0.152585	0.00533947
776	0.242212	0.00552657
777	0.231191	0.00558301
778	0.285267	0.00562511
779	0.38214	0.00567342
780	0.333271	0.00571765
781	0.333266	0.00575239
782	0.297636	0.00579821
783	0.454427	0.00589281
784	0.332614	0.00600607
785	0.229663	0.00613264
786	0.148495	0.00626964
787	0.163233	0.0064195
788	0.0258644	0.00658233
789	0.02589	0.00672991
790	0.000104305	0.00684377
791	0.0297876	0.00694448
792	0.130058	0.00705282
793	0.161655	0.00717635
794	0.113443	0.0073346
795	0.138047	0.00754509
796	0.137961	0.00779425
797	0.113279	0.00805028
798	0.173795	0.00829047
799	0.156701	0.00850146
800	0.105054	0.00863626
801	0.105091	0.00871896
802	0.169647	0.00885548
803	0.0957123	0.00901583
804	0.135673	0.00919501
