    Step 	 <r-r'>^2 	 <v-v'>^2 
745	11.9691	1.60608
746	11.9118	1.60024
747	12.0353	1.59625
748	12.0557	1.59994
749	12.0538	1.61029
750	12.0335	1.61924
751	12.0469	1.62459
752	11.9857	1.62401
753	11.9412	1.61629
754	11.9484	1.60696
755	11.9088	1.60134
756	11.9241	1.59685
757	11.9067	1.59293
758	11.9841	1.59569
759	11.951	1.60358
760	11.9494	1.61432
761	11.963	1.63354
762	11.9921	1.65687
763	11.9734	1.67508
764	11.9255	1.68537
765	11.8976	1.68468
766	11.954	1.67728
767	12.0301	1.66047
768	12.0479	1.6436
769	11.9824	1.63567
770	11.9775	1.63582
771	11.7444	1.64075
772	11.7685	1.64908
773	11.769	1.65688
774	11.8232	1.65998
775	11.8546	1.65541
776	11.8432	1.64633
777	11.8198	1.63528
778	11.8412	1.62557
779	11.8603	1.61894
780	11.8632	1.6113
781	11.8644	1.60029
782	11.9362	1.58801
783	11.9377	1.57678
784	11.9393	1.56817
785	12.0317	1.56377
786	12.1448	1.55903
787	12.1966	1.54941
788	12.1586	1.54123
789	12.0857	1.53822
790	11.9824	1.53783
791	11.9855	1.54529
792	11.9887	1.55945
793	12.0376	1.5732
794	12.0115	1.5842
795	12.187	1.59301
796	12.2301	1.59878
797	12.2308	1.60275
798	12.2237	1.60264
799	12.227	1.60226
800	12.2578	1.60705
801	12.2378	1.61298
802	12.0203	1.62096
803	12.0229	1.63304
804	12.0517	1.63825
805	12.0387	1.63978
806	12.1139	1.64189
807	12.1213	1.6424
808	11.9356	1.63881
809	11.9703	1.62858
810	11.9902	1.61596
811	12.0621	1.61088
812	12.2725	1.61673
813	12.3893	1.62852
814	12.3649	1.63636
815	12.4314	1.63999
816	12.4352	1.64415
817	12.5176	1.65069
818	12.7491	1.65821
819	12.7382	1.66793
820	12.507	1.67926
821	12.5235	1.6874
822	12.5128	1.69197
823	12.4798	1.70146
824	12.4666	1.71301
825	12.5723	1.72116
826	12.5737	1.72829
827	12.5751	1.73153
828	12.5522	1.72857
829	12.48	1.72341
830	12.4666	1.71751
831	12.3176	1.71421
832	12.3032	1.71138
833	12.329	1.70939
834	12.4845	1.70688
835	12.5817	1.70597
836	12.6006	1.70971
837	12.6032	1.71348
838	12.7647	1.71014
839	12.8359	1.70342
840	12.9386	1.69787
841	12.9138	1.69116
842	12.9684	1.68356
843	12.9082	1.6768
844	12.8642	1.67413
845	13.0089	1.67731
846	13.0966	1.68408
847	13.1584	1.68933
848	13.0204	1.68667
849	13.022	1.67589
850	12.9419	1.66463
851	12.9432	1.65836
852	12.8524	1.65134
853	13.0217	1.64888
854	13.1048	1.65458
855	13.0753	1.6665
856	13.0464	1.67549
857	12.9526	1.67763
858	13.1094	1.68012
859	13.1203	1.68739
860	13.0881	1.69412
861	13.0877	1.69991
862	13.0735	1.70525
863	13.145	1.70315
864	13.2335	1.69628
865	13.2451	1.68906
866	13.2626	1.67883
867	13.2801	1.66798
868	13.3744	1.65664
869	13.3533	1.64431
870	13.2196	1.62678
871	13.2459	1.61543
872	13.246	1.61283
873	13.2878	1.61353
874	13.2163	1.6117
875	13.4222	1.61065
876	13.4116	1.61481
877	13.4089	1.62268
878	13.3511	1.63192
879	13.3764	1.63959
880	13.2904	1.64761
881	13.415	1.6576
882	13.3278	1.67108
883	13.4375	1.68552
884	13.5358	1.69576
885	13.9243	1.70084
886	13.9276	1.7069
887	13.931	1.71182
888	13.9187	1.7163
889	13.971	1.72
890	14.0917	1.72409
891	14.258	1.73483
892	14.2442	1.75689
893	14.2375	1.78238
894	14.2661	1.79993
895	14.3403	1.80995
896	14.3047	1.8174
897	14.3069	1.82542
898	14.2885	1.8355
899	14.2644	1.8438
900	14.2034	1.84628
901	14.2059	1.84998
902	14.3232	1.85671
903	14.3317	1.86307
904	14.7285	1.86576
905	14.798	1.87027
906	14.8219	1.88171
907	14.9174	1.88976
908	14.9145	1.88743
909	14.861	1.8856
910	14.9063	1.88385
911	15.1712	1.87698
912	15.1136	1.86422
913	15.1422	1.84735
914	15.0623	1.8279
915	15.0506	1.80731
916	15.1018	1.79058
917	15.0194	1.78016
918	14.9888	1.77402
919	14.8401	1.76884
920	14.9281	1.76376
921	14.9066	1.7564
922	14.8828	1.75425
923	15.0365	1.7585
924	15.0419	1.77218
925	15.0364	1.77989
926	15.0052	1.78076
927	15.0333	1.77832
928	14.9856	1.77412
929	14.9886	1.76805
930	14.9712	1.76047
931	15.1819	1.75014
932	15.2977	1.73447
933	15.2791	1.71397
934	15.3174	1.69515
935	15.4729	1.68196
936	15.4052	1.67012
937	15.4531	1.6557
938	15.6297	1.64324
939	15.5724	1.64037
940	15.6779	1.64986
941	15.415	1.66859
942	15.3997	1.68948
943	15.4055	1.70735
944	15.411	1.72255
945	15.5245	1.73433
946	15.5468	1.74318
947	15.6437	1.74585
948	15.7717	1.74463
949	15.6776	1.73802
950	15.7336	1.72885
951	15.7078	1.72549
952	15.5845	1.72954
953	15.5616	1.73527
954	15.6354	1.74184
955	15.5034	1.74894
956	15.4604	1.75265
957	15.3304	1.74933
958	15.41	1.73922
959	15.4111	1.72528
960	15.5356	1.71835
961	15.5417	1.72238
962	15.5903	1.72874
963	15.6461	1.73403
964	15.6497	1.73918
965	15.7526	1.74081
966	15.8047	1.73577
967	15.8099	1.72894
968	15.9071	1.72086
969	15.9455	1.71538
970	15.9912	1.71183
971	16.072	1.7122
972	16.0864	1.71237
973	16.0629	1.70939
974	16.0841	1.70384
975	16.0524	1.69528
976	16.1925	1.6864
977	16.2581	1.67741
978	16.0929	1.66606
979	16.0763	1.64813
980	16.273	1.63904
981	16.08	1.64518
982	16.0657	1.66021
983	16.2002	1.67257
984	16.1716	1.68478
985	16.1888	1.70419
986	16.0905	1.7299
987	16.114	1.75902
988	16.1794	1.78926
989	16.2003	1.81484
990	16.0287	1.82963
991	16.0455	1.84127
992	16.1091	1.84577
993	16.2924	1.83743
994	16.272	1.82475
995	16.3298	1.81011
996	16.5944	1.78784
997	16.5991	1.76489
998	16.67	1.75184
999	16.6573	1.74152
